tin;year;employees_count
0100002516;2022;1
0105026430;2018;140
0105026430;2019;126
0105026430;2020;128
0105026430;2021;124
0105026430;2022;116
0105028050;2018;19
0105028050;2019;19
0105028050;2020;17
0105028050;2021;31
0105028050;2022;14
0105041910;2018;22
0105041910;2019;28
0105041910;2020;30
0105041910;2021;33
0105041910;2022;38
0105048970;2018;7
0105048970;2019;1
0105048970;2020;1
0105049719;2018;1
0105049719;2019;1
0105049719;2020;1
0105055222;2018;13
0105055222;2019;1
0105055222;2020;1
0105055222;2021;1
0105055222;2022;1
0105059308;2018;1
0105059308;2019;1
0105059308;2020;1
0105069070;2018;1
0105069070;2019;1
0105069070;2020;1
0105076021;2018;4
0105076021;2019;3
0105076021;2020;3
0105076021;2021;4
0105076021;2022;4
0105078117;2018;2
0105078117;2019;4
0105078117;2020;2
0105078117;2021;2
0105078117;2022;3
0107000028;2019;5
0107000028;2020;5
0107000028;2021;5
0107000028;2022;5
0107013901;2019;1
0107037211;2021;0
0107037211;2022;1
0107037420;2021;1
0107037420;2022;1
0201012285;2018;117
0201012285;2019;98
0201012285;2020;73
0201012285;2021;44
0201012285;2022;5
0201013183;2018;0
0201013183;2019;1
0201013183;2022;0
0201014532;2019;1
0201014532;2020;0
0201014532;2021;0
0201014532;2022;1
0202010097;2018;0
0202010097;2019;0
0202012023;2021;12
0202012023;2022;36
0205007800;2018;2
0205007800;2019;2
0205007800;2020;5
0205007800;2021;5
0205007800;2022;5
0208002712;2018;16
0208002712;2019;17
0208002712;2020;14
0208002712;2021;14
0208002712;2022;13
0214007028;2019;1
0218003289;2018;1
0218003289;2019;1
0218003289;2020;1
0218003289;2022;1
0224006231;2018;5
0224006231;2019;4
0224006231;2020;4
0224006231;2021;5
0224006231;2022;5
0224955769;2020;0
0224955769;2021;2
0224955769;2022;1
0224957639;2022;0
0225008055;2018;1
0228995603;2019;0
0230005451;2018;69
0230005451;2019;54
0230005451;2020;0
0230005451;2021;50
0230005451;2022;52
0231008078;2018;2
0231008078;2019;1
0231008078;2020;1
0231008705;2018;8
0231008705;2019;1
0231008705;2020;0
0231008705;2021;1
0231008705;2022;0
0231009931;2021;2
0231009931;2022;1
0233005001;2018;1
0233005001;2019;1
0233005001;2020;1
0233005001;2021;1
0233005001;2022;1
0234002589;2018;12
0240007306;2018;1
0240007306;2019;2
0240007306;2020;2
0241004989;2018;1
0241004989;2019;2
0241004989;2020;0
0241004989;2021;1
0242008760;2018;0
0242008760;2019;0
0242011812;2018;1
0242011812;2019;7
0242011812;2020;8
0242011812;2021;10
0242011812;2022;9
0245013367;2018;2
0245013367;2019;4
0245013367;2020;3
0245013367;2021;2
0245013367;2022;2
0245019714;2018;11
0245019714;2019;8
0245019714;2020;0
0245019714;2021;1
0245019714;2022;1
0245954893;2018;1
0245954893;2019;1
0245954893;2020;1
0245954893;2021;1
0245954893;2022;2
0245957894;2018;1
0245957894;2019;1
0245957894;2020;1
0245957894;2021;2
0245957894;2022;2
0245958552;2018;1
0245958552;2019;82
0245958552;2020;87
0245958552;2021;133
0245958552;2022;132
0245960537;2019;0
0245969346;2022;1
0249007974;2018;1
0249007974;2019;1
0249007974;2020;1
0250016028;2018;2
0250016028;2019;2
0250016028;2020;1
0250016028;2021;2
0250016028;2022;1
0250016290;2019;2
0250019205;2021;0
0253003348;2018;2
0253003348;2019;1
0253003348;2020;1
0253003348;2021;1
0253003348;2022;1
0253007092;2018;5
0253007092;2019;6
0253007092;2020;4
0253007092;2021;4
0253007092;2022;4
0253008963;2018;7
0253008963;2019;7
0253008963;2020;6
0253008963;2021;6
0253008963;2022;4
0253019115;2018;5
0253019115;2019;3
0253019115;2020;3
0253019115;2021;2
0253019115;2022;0
0254006630;2018;1
0254006630;2019;0
0254006630;2020;1
0254006630;2021;1
0254006630;2022;1
0254012987;2018;19
0254012987;2019;13
0254012987;2020;10
0254012987;2021;7
0254012987;2022;2
0255022635;2020;1
0255023540;2021;1
0255023540;2022;1
0255023607;2022;0
0256013224;2018;39
0256013224;2019;36
0256013224;2020;35
0256013224;2021;28
0256013224;2022;22
0256998187;2019;1
0256998187;2020;1
0256998187;2021;1
0256999247;2021;0
0257007738;2018;11
0257007738;2019;8
0257007738;2020;12
0257007738;2021;14
0257007738;2022;12
0257009284;2018;16
0257009284;2019;1
0257009936;2018;1
0257009936;2020;1
0257009936;2021;1
0257009936;2022;1
0257011276;2018;1
0257011276;2019;1
0257011276;2020;1
0257011276;2021;1
0257011276;2022;1
0257013072;2020;1
0257013072;2021;4
0257013072;2022;3
0258012956;2018;1
0258953921;2020;0
0258953921;2021;2
0258953921;2022;2
0259007719;2018;215
0259007719;2019;164
0259007719;2020;154
0259007719;2021;156
0259007719;2022;126
0259009755;2018;1
0259009755;2019;1
0259009868;2018;238
0259009868;2019;192
0259009868;2020;177
0259009868;2021;169
0259009868;2022;175
0259010888;2018;1
0259010944;2018;1
0259011634;2018;16
0259011634;2019;8
0259011634;2020;5
0259011634;2021;3
0259011634;2022;0
0259012966;2018;119
0259012966;2019;105
0259012966;2020;98
0259012966;2021;91
0259012966;2022;91
0259013180;2018;26
0259014385;2018;3
0259014385;2019;7
0259014385;2020;9
0259014385;2021;26
0259014385;2022;1
0259015452;2019;0
0259015452;2020;1
0259015452;2021;1
0259015452;2022;1
0261001753;2018;369
0261001753;2019;246
0261001753;2020;12
0261001753;2021;6
0261001753;2022;5
0261013928;2018;1
0261013928;2019;1
0261013928;2020;1
0261013928;2021;0
0261013928;2022;0
0261018242;2018;3
0261018242;2019;3
0261018242;2020;2
0261018242;2021;2
0261018242;2022;0
0261024599;2018;33
0261024599;2020;0
0261024655;2018;58
0261024655;2020;0
0261024655;2021;0
0261024655;2022;0
0261025088;2018;83
0261025088;2019;86
0261025088;2020;82
0261025088;2021;86
0261025088;2022;87
0261033402;2018;1
0261044524;2019;138
0261044524;2020;165
0261044524;2021;167
0261044524;2022;142
0261044588;2020;2
0261044588;2021;19
0261044588;2022;272
0261045824;2020;1
0262015766;2018;1
0262024834;2018;4
0262024834;2019;1
0262024834;2020;1
0262024834;2022;0
0262025595;2018;1
0262025595;2019;5
0262025595;2020;6
0262025595;2021;1
0262025683;2018;1
0262025683;2019;1
0262025690;2018;43
0262025690;2019;0
0262025690;2020;0
0262025725;2018;8
0262025725;2019;8
0262025725;2020;1
0262029046;2018;1
0262029046;2019;3
0262029046;2020;5
0262029046;2021;3
0262029046;2022;3
0262032641;2019;2
0262032641;2020;3
0262032641;2021;2
0262032641;2022;1
0262033860;2019;1
0262033860;2020;6
0262033860;2021;28
0262033860;2022;38
0262034448;2019;20
0262034448;2020;0
0262034448;2021;1
0262034462;2019;20
0262034462;2020;4
0262034462;2021;2
0262034504;2019;20
0262034504;2020;2
0262034504;2021;1
0262034543;2020;0
0262034543;2021;1
0263014733;2018;5
0263014733;2019;4
0263014733;2020;3
0263014733;2021;2
0263014733;2022;2
0263022389;2018;1
0263022389;2019;6
0263022389;2020;6
0263022389;2021;0
0264000645;2018;1
0264000719;2020;1
0264002000;2018;79
0264002000;2019;83
0264002000;2020;91
0264002000;2021;90
0264002000;2022;82
0264003572;2018;23
0264003572;2019;15
0264003572;2020;2
0264003572;2021;3
0264003572;2022;2
0264004946;2018;30
0264004946;2019;35
0264004946;2020;25
0264004946;2021;30
0264004946;2022;38
0264006541;2018;4
0264006541;2019;4
0264006541;2020;8
0264006541;2021;8
0264006541;2022;8
0264011929;2018;53
0264011929;2019;32
0264011929;2020;38
0264011929;2021;47
0264011929;2022;54
0264017159;2018;8
0264017159;2019;9
0264017159;2020;11
0264017159;2021;10
0264017159;2022;7
0264022286;2018;4
0264022286;2019;3
0264022286;2020;1
0264054873;2018;5
0264054873;2019;5
0264054873;2020;5
0264054873;2021;5
0264054873;2022;4
0264062867;2018;1
0264062867;2019;1
0264062867;2020;0
0264065280;2018;29
0264065280;2019;39
0264065280;2020;36
0264065280;2021;34
0264071741;2018;34
0264071741;2019;29
0264071741;2020;29
0264071741;2021;21
0264071741;2022;18
0264072417;2018;1
0264072417;2019;1
0264072417;2020;1
0264072417;2021;1
0264072417;2022;1
0264073185;2019;2
0264073185;2020;0
0264073185;2021;1
0264073185;2022;1
0264076683;2019;1
0264076683;2020;0
0264076683;2021;1
0264078634;2021;1
0264078634;2022;0
0265035016;2018;1
0265035016;2019;1
0265035016;2020;1
0265035016;2021;1
0265039821;2018;1
0265039821;2019;1
0265039821;2020;1
0265039821;2021;2
0265039821;2022;2
0265045261;2018;1
0265045261;2019;1
0265045261;2020;1
0265045261;2021;1
0265045261;2022;1
0265046850;2018;1
0265046850;2019;1
0265046850;2020;1
0265048216;2019;2
0265048216;2020;1
0265048216;2021;2
0265048216;2022;2
0265048368;2019;1
0265048368;2020;0
0265048368;2021;1
0265048368;2022;1
0265052149;2022;31
0266013093;2018;0
0266013093;2019;0
0266021048;2018;0
0266021048;2019;0
0266021048;2020;0
0266021048;2022;0
0266022771;2018;4
0266022771;2019;2
0266022771;2021;1
0266022771;2022;0
0266033928;2018;23
0266033928;2019;23
0266033928;2020;32
0266033928;2021;29
0266033928;2022;27
0266055992;2019;1
0266055992;2020;0
0266055992;2021;0
0266056280;2018;8
0266056280;2019;10
0266056280;2020;10
0266056280;2021;11
0266056280;2022;10
0267008515;2019;1
0267008515;2021;1
0267008515;2022;1
0267016788;2019;0
0267016788;2020;0
0267016788;2021;0
0267016788;2022;0
0267016964;2018;2
0267016964;2019;2
0267016964;2020;2
0267016964;2021;4
0267016964;2022;1
0267017284;2019;6
0267017284;2020;4
0267017284;2021;4
0267017284;2022;3
0267019316;2019;1
0267019316;2020;1
0267019316;2021;1
0267019316;2022;1
0267021410;2018;1
0267021410;2019;2
0267021410;2020;4
0267021410;2021;3
0267021410;2022;5
0267022573;2018;3
0267022573;2019;9
0267022573;2020;2
0267022573;2021;1
0267023619;2020;1
0267023619;2021;8
0267023619;2022;7
0267024355;2021;1
0267024355;2022;1
0268000195;2018;8
0268000195;2019;6
0268000195;2020;1
0268000195;2021;1
0268000195;2022;1
0268000283;2018;1
0268000283;2019;1
0268000283;2020;1
0268029275;2018;2
0268029275;2019;2
0268029275;2020;10
0268029275;2021;6
0268029275;2022;1
0268030665;2018;3
0268030665;2019;2
0268038600;2018;5
0268053165;2018;36
0268056871;2018;1
0268056871;2019;1
0268056871;2020;0
0268061141;2018;18
0268061141;2019;15
0268061141;2020;18
0268061141;2021;19
0268061141;2022;21
0268064953;2018;2
0268064953;2019;1
0268064953;2020;1
0268068242;2018;6
0268068242;2019;4
0268068242;2020;6
0268068242;2021;1
0268068242;2022;1
0268071887;2018;1
0268071887;2019;1
0268071887;2020;1
0268071887;2021;1
0268071887;2022;1
0268072841;2018;1
0268072841;2019;1
0268072841;2020;0
0268072841;2021;0
0268072841;2022;0
0268074750;2018;1
0268074750;2019;1
0268074750;2020;1
0268074750;2021;0
0268074750;2022;1
0268093866;2021;1
0268093866;2022;1
0268094700;2021;1
0268094700;2022;1
0269018815;2018;163
0269018815;2019;158
0269018815;2020;154
0269018815;2021;51
0269018815;2022;6
0269019456;2018;34
0269019456;2019;27
0269019456;2020;24
0269019456;2021;27
0269019456;2022;24
0269024738;2018;91
0269024738;2019;79
0269024738;2020;0
0269024738;2021;46
0269024738;2022;43
0269029285;2018;0
0269029285;2019;0
0269029285;2020;0
0269029895;2018;1
0269029895;2019;1
0269029895;2020;0
0269029895;2021;0
0269029895;2022;0
0269031090;2018;0
0269031090;2019;0
0269031090;2020;0
0269032697;2018;99
0269032697;2019;180
0269032697;2020;193
0269032697;2021;253
0269032697;2022;263
0269042007;2021;2
0269042007;2022;0
0269997110;2018;0
0269998917;2018;1
0269998917;2019;1
0269998917;2020;2
0269998917;2021;3
0269998917;2022;5
0270015551;2018;1
0270015551;2019;0
0271004009;2018;4
0271004009;2019;4
0271004009;2020;4
0271004009;2021;3
0272010654;2018;17
0272010654;2019;15
0272010654;2020;17
0272010654;2021;16
0272010654;2022;13
