tin;year;revenue;expenditure
0100002516;2022;889000.0;367000.0
0105026430;2018;2.14751008E8;1.80732E8
0105026430;2019;2.00076992E8;1.70624992E8
0105026430;2020;1.9267E8;1.66011008E8
0105026430;2021;2.22872992E8;1.7976E8
0105026430;2022;3.68086016E8;2.60214E8
0105028050;2018;6982000.0;6434000.0
0105028050;2019;9815000.0;8873000.0
0105028050;2020;7835000.0;7214000.0
0105028050;2021;6894000.0;6256000.0
0105028050;2022;5028000.0;1.102E7
0105041910;2018;2.2968E7;1.8383E7
0105041910;2019;2.5931E7;2.0662E7
0105041910;2020;2.5747E7;2.0501E7
0105041910;2021;2.6175E7;2.294E7
0105041910;2022;3.0519E7;2.6246E7
0105048970;2018;6047000.0;6300000.0
0105048970;2019;2761000.0;2811000.0
0105048970;2020;3.2928E7;3.1186E7
0105049719;2018;782000.0;651000.0
0105049719;2019;0.0;0.0
0105049719;2020;0.0;0.0
0105055222;2018;8255000.0;3149000.0
0105055222;2019;0.0;4000.0
0105055222;2020;0.0;36000.0
0105055222;2021;0.0;0.0
0105055222;2022;0.0;0.0
0105059308;2018;0.0;0.0
0105059308;2019;0.0;0.0
0105059308;2020;0.0;0.0
0105059308;2021;0.0;0.0
0105067267;2018;0.0;0.0
0105069070;2018;0.0;0.0
0105069070;2019;0.0;0.0
0105069070;2020;0.0;0.0
0105069183;2018;0.0;0.0
0105076021;2018;1.10801E8;1.09733E8
0105076021;2019;1.08742E8;1.07542E8
0105076021;2020;8.9049E7;8.8225E7
0105076021;2021;0.0;0.0
0105076021;2022;1.506E7;1.4893E7
0105078117;2018;333000.0;288000.0
0105078117;2019;861000.0;676000.0
0105078117;2020;3054000.0;2534000.0
0105078117;2021;6983000.0;4350000.0
0105078117;2022;1.5906E7;1.3831E7
0107000028;2018;1033000.0;1047000.0
0107000028;2019;803000.0;800000.0
0107000028;2020;664000.0;659000.0
0107000028;2021;663000.0;659000.0
0107000028;2022;561000.0;559000.0
0107013901;2018;0.0;0.0
0107013901;2019;0.0;0.0
0107037211;2021;2043000.0;1769000.0
0107037211;2022;1283000.0;453000.0
0107037420;2021;18000.0;19000.0
0201012285;2018;1.6854E7;1.6734E7
